model,precision,recall,f1
Random Forest,0.967741935483871,0.8695652173913043,0.9160305343511451
Random Forest,0.8266666666666667,0.8857142857142857,0.8551724137931035
Random Forest,0.9523809523809523,0.8571428571428571,0.9022556390977443
Random Forest,0.9305555555555556,0.9054054054054054,0.9178082191780821
Random Forest,0.971830985915493,0.8734177215189873,0.92
Random Forest,0.8636363636363636,0.890625,0.8769230769230768
Random Forest,0.8450704225352113,0.8955223880597015,0.8695652173913043
Random Forest,0.9696969696969697,0.8421052631578947,0.9014084507042254
Random Forest,0.8333333333333334,0.8333333333333334,0.8333333333333334
Random Forest,0.8983050847457628,0.7794117647058824,0.8346456692913385
Random Forest,0.9206349206349206,0.8405797101449275,0.8787878787878787
Random Forest,0.9558823529411765,0.9154929577464789,0.9352517985611511
Random Forest,0.8620689655172413,0.819672131147541,0.8403361344537814
Random Forest,0.9516129032258065,0.8805970149253731,0.9147286821705426
Random Forest,0.9333333333333333,0.835820895522388,0.8818897637795275
Random Forest,0.9402985074626866,0.875,0.9064748201438849
Random Forest,0.8571428571428571,0.7605633802816901,0.8059701492537313
Random Forest,0.8382352941176471,0.95,0.890625
Random Forest,0.9459459459459459,0.8641975308641975,0.903225806451613
Random Forest,0.9016393442622951,0.8333333333333334,0.8661417322834646
Random Forest,0.8970588235294118,0.8591549295774648,0.8776978417266187
Random Forest,0.9230769230769231,0.8421052631578947,0.8807339449541285
Random Forest,0.8873239436619719,0.875,0.881118881118881
Random Forest,0.8769230769230769,0.890625,0.883720930232558
Random Forest,0.9242424242424242,0.8133333333333334,0.8652482269503545
Random Forest,0.8870967741935484,0.8461538461538461,0.8661417322834646
Random Forest,0.9295774647887324,0.88,0.9041095890410958
Random Forest,0.9354838709677419,0.8405797101449275,0.8854961832061068
Random Forest,0.8695652173913043,0.8695652173913043,0.8695652173913043
Random Forest,0.9152542372881356,0.84375,0.8780487804878049
Random Forest,0.9305555555555556,0.881578947368421,0.9054054054054054
Random Forest,0.9076923076923077,0.921875,0.9147286821705427
Random Forest,0.967741935483871,0.8695652173913043,0.9160305343511451
Random Forest,0.8382352941176471,0.7916666666666666,0.8142857142857143
Random Forest,0.9090909090909091,0.9523809523809523,0.9302325581395349
